classes,class_desc
Telephony.ServiceStateTable,"Constants for interfacing with the ServiceStateProvider and the different fields of the
 ServiceState class accessible through the provider."
Telephony.Sms,Contains all text-based SMS messages.
Telephony.Sms.Conversations,Contains all sent text-based SMS messages in the SMS app.
Telephony.Sms.Draft,Contains all sent text-based SMS messages in the SMS app.
Telephony.Sms.Inbox,Contains all text-based SMS messages in the SMS app inbox.
Telephony.Sms.Intents,Contains constants for SMS related Intents that are broadcast.
Telephony.Sms.Outbox,Contains all pending outgoing text-based SMS messages.
Telephony.Sms.Sent,Contains all sent text-based SMS messages in the SMS app.
Telephony.TextBasedSmsColumns,Base columns for tables that contain text-based SMSs.
Telephony.Threads,"Helper functions for the ""threads"" table used by MMS and SMS."
Telephony.ThreadsColumns,"Columns for the ""threads"" table used by MMS and SMS."
TelephonyManager,"Provides access to information about the telephony services on
 the device."
TelephonyManager.UssdResponseCallback,"Used to notify callers of
 TelephonyManager.sendUssdRequest(String, UssdResponseCallback, Handler) when the
 network either successfully executes a USSD request, or if there was a failure while
 executing the request."
TelephonyScanManager,Manages the radio access network scan requests and callbacks.
TelephonyScanManager.NetworkScanCallback,"The caller of
 TelephonyManager.requestNetworkScan(NetworkScanRequest, Executor, NetworkScanCallback)
 should implement and provide this callback so that the scan results or errors can be
 returned."
Templates,"An object that implements this interface is the runtime representation of processed
 transformation instructions."
TemplatesHandler,"A SAX ContentHandler that may be used to process SAX
 parse events (parsing transformation instructions) into a Templates object."
Temporal,"Framework-level interface defining read-write access to a temporal object,
 such as a date, time, offset or some combination of these."
TemporalAccessor,"Framework-level interface defining read-only access to a temporal object,
 such as a date, time, offset or some combination of these."
TemporalAdjuster,Strategy for adjusting a temporal object.
TemporalAdjusters,Common and useful TemporalAdjusters.
TemporalAmount,"Framework-level interface defining an amount of time, such as
 ""6 hours"", ""8 days"" or ""2 years and 3 months""."
TemporalField,"A field of date-time, such as month-of-year or hour-of-minute."
TemporalQueries,Common implementations of TemporalQuery.
TemporalQuery<R>,Strategy for querying a temporal object.
TemporalUnit,"A unit of date-time, such as Days or Hours."
Test,A Test can be run and collect its results.
TestCase,A test case defines the fixture to run multiple tests.
TestFailure,"A TestFailure collects a failed test together with
 the caught exception."
TestListener,A Listener for test progress
TestLooperManager,"Blocks a looper from executing any messages, and allows the holder of this object
 to control when and which messages get executed until it is released."
TestMethod,"This class was deprecated
      in API level 26.
    New tests should be written using the
 Android Testing Support Library."
TestResult,"A TestResult collects the results of executing
 a test case."
TestSuite,A TestSuite is a Composite of Tests.
TestSuiteBuilder,"This class was deprecated
      in API level 26.
    New tests should be written using the
 Android Testing Support Library."
TestSuiteBuilder.FailedToCreateTests,"This class was deprecated
      in API level 26.
    New tests should be written using the
 Android Testing Support Library."
TestSuiteLoader,An interface to define how a test suite should be loaded.
TestSuiteProvider,"This interface was deprecated
      in API level 24.
    Use
 
 AndroidJUnitRunner instead. New tests should be written using the
 Android Testing Support Library."
TestTarget,"This @interface was deprecated
      in API level 14.
    Obsolete."
TestTargetClass,"This @interface was deprecated
      in API level 14.
    Obsolete."
Text,"The Text interface inherits from CharacterData
 and represents the textual content (termed character data in XML) of an Element or Attr."
TextAppearanceSpan,"Sets the text color, size, style, and typeface to match a TextAppearance
 resource."
TextAttribute,"The TextAttribute class defines attribute keys and
 attribute values used for text rendering."
TextClassification,Information for generating a widget to handle classified text.
TextClassification.Builder,Builder for building TextClassification objects.
TextClassification.Request,A request object for generating TextClassification.
TextClassification.Request.Builder,A builder for building TextClassification requests.
TextClassificationContext,A representation of the context in which text classification would be performed.
TextClassificationContext.Builder,A builder for building a TextClassification context.
TextClassificationManager,Interface to the text classification service.
TextClassificationSessionFactory,An interface for creating a session-aware TextClassifier.
TextClassificationSessionId,This class represents the id of a text classification session.
TextClassifier,Interface for providing text classification related features.
TextClassifier.EntityConfig,Configuration object for specifying what entities to identify.
TextClock,"TextClock can display the current date and/or time as
 a formatted string."
TextDirectionHeuristic,Interface for objects that use a heuristic for guessing at the paragraph direction by examining text.
TextDirectionHeuristics,Some objects that implement TextDirectionHeuristic.
TextElementListener,Listens for the beginning and ending of text elements.
TextInfo,This class contains a metadata of the input of TextService
TextKeyListener,This is the key listener for typing normal text.
TextKeyListener.Capitalize,
TextLinks,"A collection of links, representing subsequences of text and the entity types (phone number,
 address, url, etc) they may be."
TextLinks.Builder,A builder to construct a TextLinks instance.
TextLinks.Request,A request object for generating TextLinks.
TextLinks.Request.Builder,A builder for building TextLinks requests.
TextLinks.TextLink,"A link, identifying a substring of text and possible entity types for it."
TextLinks.TextLinkSpan,A ClickableSpan for a TextLink.
TextPaint,"TextPaint is an extension of Paint that leaves room for some extra
 data used during text measuring and drawing."
TextSelection,Information about where text selection should be.
TextSelection.Builder,Builder used to build TextSelection objects.
TextSelection.Request,A request object for generating TextSelection.
TextSelection.Request.Builder,A builder for building TextSelection requests.
TextServicesManager,"System API to the overall text services, which arbitrates interaction between applications
 and text services."
